,day_num,place,product,cost,date,competitors_price,year,month,day,place_0,place_1,place_2,place_3,place_4,weather
0,1,0,0,5.072268653564591,2218-09-28,10.511566652340468,2218,9,28,1,0,0,0,0,0
1,2,0,0,5.072268653564591,2218-09-29,9.879071091653394,2218,9,29,1,0,0,0,0,1
2,3,0,0,5.072268653564591,2218-09-30,9.107713720181414,2218,9,30,1,0,0,0,0,0
3,4,0,0,5.072268653564591,2218-10-01,9.862911474054714,2218,10,1,1,0,0,0,0,1
4,5,0,0,5.072268653564591,2218-10-02,10.880847236736159,2218,10,2,1,0,0,0,0,0
5,6,0,0,5.072268653564591,2218-10-03,9.759436477357642,2218,10,3,1,0,0,0,0,1
6,7,0,0,5.072268653564591,2218-10-04,9.079765143207846,2218,10,4,1,0,0,0,0,0
7,8,0,0,5.072268653564591,2218-10-05,8.581034640723278,2218,10,5,1,0,0,0,0,0
8,9,0,0,5.072268653564591,2218-10-06,9.512354719268476,2218,10,6,1,0,0,0,0,0
9,10,0,0,5.072268653564591,2218-10-07,8.806122238434046,2218,10,7,1,0,0,0,0,1
10,11,0,0,5.072268653564591,2218-10-08,9.750330110787518,2218,10,8,1,0,0,0,0,0
11,12,0,0,5.072268653564591,2218-10-09,10.432081082542602,2218,10,9,1,0,0,0,0,1
12,13,0,0,5.072268653564591,2218-10-10,10.387573482044248,2218,10,10,1,0,0,0,0,0
13,14,0,0,5.072268653564591,2218-10-11,10.129007981151434,2218,10,11,1,0,0,0,0,1
14,15,0,0,5.072268653564591,2218-10-12,9.705086421890504,2218,10,12,1,0,0,0,0,1
15,16,0,0,5.072268653564591,2218-10-13,10.802707273776235,2218,10,13,1,0,0,0,0,1
16,17,0,0,5.072268653564591,2218-10-14,9.003276221424109,2218,10,14,1,0,0,0,0,1
17,18,0,0,5.072268653564591,2218-10-15,10.478876088358913,2218,10,15,1,0,0,0,0,1
18,19,0,0,5.318754291996174,2218-10-16,9.763924626501513,2218,10,16,1,0,0,0,0,0
19,20,0,0,5.318754291996174,2218-10-17,8.973711969952907,2218,10,17,1,0,0,0,0,1
20,21,0,0,5.318754291996174,2218-10-18,10.131231391544326,2218,10,18,1,0,0,0,0,1
21,22,0,0,5.318754291996174,2218-10-19,10.782595457179653,2218,10,19,1,0,0,0,0,0
22,23,0,0,5.318754291996174,2218-10-20,9.91590416783535,2218,10,20,1,0,0,0,0,1
23,24,0,0,5.318754291996174,2218-10-21,10.668446471009872,2218,10,21,1,0,0,0,0,1
24,25,0,0,5.318754291996174,2218-10-22,9.643529628658355,2218,10,22,1,0,0,0,0,0
25,26,0,0,5.318754291996174,2218-10-23,9.653951351275854,2218,10,23,1,0,0,0,0,0
26,27,0,0,5.318754291996174,2218-10-24,9.772105194087924,2218,10,24,1,0,0,0,0,0
27,28,0,0,5.318754291996174,2218-10-25,9.662199737543537,2218,10,25,1,0,0,0,0,1
28,29,0,0,5.318754291996174,2218-10-26,10.630536574337542,2218,10,26,1,0,0,0,0,1
29,30,0,0,5.318754291996174,2218-10-27,7.655305944521379,2218,10,27,1,0,0,0,0,1
30,31,0,0,5.318754291996174,2218-10-28,10.394112345980291,2218,10,28,1,0,0,0,0,0
31,32,0,0,5.318754291996174,2218-10-29,9.74415997073624,2218,10,29,1,0,0,0,0,0
32,33,0,0,5.318754291996174,2218-10-30,10.487444256887363,2218,10,30,1,0,0,0,0,0
33,34,0,0,5.318754291996174,2218-10-31,8.343163387176574,2218,10,31,1,0,0,0,0,0
34,35,0,0,5.318754291996174,2218-11-01,10.763215728430684,2218,11,1,1,0,0,0,0,1
35,36,0,0,5.318754291996174,2218-11-02,10.761312434300404,2218,11,2,1,0,0,0,0,1
36,37,0,0,8.63864171873284,2218-11-03,9.972740582163514,2218,11,3,1,0,0,0,0,1
37,38,0,0,8.63864171873284,2218-11-04,9.956703084747915,2218,11,4,1,0,0,0,0,1
38,39,0,0,8.63864171873284,2218-11-05,9.952804711789522,2218,11,5,1,0,0,0,0,0
39,40,0,0,8.63864171873284,2218-11-06,10.414233869076392,2218,11,6,1,0,0,0,0,1
40,41,0,0,8.63864171873284,2218-11-07,10.006202205554976,2218,11,7,1,0,0,0,0,1
41,42,0,0,8.63864171873284,2218-11-08,8.767205850255193,2218,11,8,1,0,0,0,0,0
42,43,0,0,8.63864171873284,2218-11-09,8.237241479657795,2218,11,9,1,0,0,0,0,1
43,44,0,0,8.63864171873284,2218-11-10,10.059811426742645,2218,11,10,1,0,0,0,0,0
44,45,0,0,8.63864171873284,2218-11-11,10.004496117848598,2218,11,11,1,0,0,0,0,1
45,46,0,0,8.63864171873284,2218-11-12,10.343797260402509,2218,11,12,1,0,0,0,0,0
46,47,0,0,8.63864171873284,2218-11-13,10.72960016441669,2218,11,13,1,0,0,0,0,1
47,48,0,0,8.63864171873284,2218-11-14,10.383218912890051,2218,11,14,1,0,0,0,0,1
48,49,0,0,8.63864171873284,2218-11-15,10.627619416814632,2218,11,15,1,0,0,0,0,0
49,50,0,0,8.63864171873284,2218-11-16,10.343115318237881,2218,11,16,1,0,0,0,0,0
50,51,0,0,8.63864171873284,2218-11-17,11.123673856254557,2218,11,17,1,0,0,0,0,0
51,52,0,0,8.63864171873284,2218-11-18,11.285239035160116,2218,11,18,1,0,0,0,0,0
52,53,0,0,8.63864171873284,2218-11-19,10.227733368429353,2218,11,19,1,0,0,0,0,0
53,54,0,0,8.63864171873284,2218-11-20,11.288828335706155,2218,11,20,1,0,0,0,0,0
54,55,0,0,5.347323035450374,2218-11-21,11.265172593437281,2218,11,21,1,0,0,0,0,0
55,56,0,0,5.347323035450374,2218-11-22,10.442287960874669,2218,11,22,1,0,0,0,0,1
56,57,0,0,5.347323035450374,2218-11-23,10.86232974125579,2218,11,23,1,0,0,0,0,0
57,58,0,0,5.347323035450374,2218-11-24,10.566837792627629,2218,11,24,1,0,0,0,0,0
58,59,0,0,5.347323035450374,2218-11-25,9.691784554501314,2218,11,25,1,0,0,0,0,0
